row,file,date,imageNo,image,multipleEmbNotes,strain,spn4,condition,transcript,cell_stage,total_no_RNA,No_RNA_clusters,No_RNA_in_clusters,fraction_RNA_in_clusters,avg_no_RNA_per_cluster
142,car-1.csv,211109,Image_27,211109_Image_27,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,car-1,4-cell,22145,795,10556,0.476676451,13.27798742
143,car-1.csv,211109,Image_31,211109_Image_31,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,car-1,4-cell,10177,337,4505,0.442664832,13.36795252
144,car-1.csv,211113,Image_01,211113_Image_01,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,car-1,4-cell,14022,479,7240,0.516331479,15.11482255
145,car-1.csv,211113,Image_18,211113_Image_18,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,car-1,4-cell,14127,469,8340,0.590358887,17.78251599
146,car-1.csv,211113,Image_25,211113_Image_25,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,car-1,4-cell,16772,460,10848,0.646792273,23.5826087
147,car-1.csv,211109,Image_16,211109_Image_16,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,car-1,4-cell,23810,817,15171,0.637169257,18.56915545
148,car-1.csv,211109,Image_32,211109_Image_32,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,car-1,4-cell,21986,852,12551,0.570863277,14.73122066
149,car-1.csv,211109,Image_34,211109_Image_34,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,car-1,4-cell,26673,853,14677,0.550256814,17.2063306
150,car-1.csv,211109,Image_35,211109_Image_35,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,car-1,4-cell,26515,909,15306,0.577258156,16.83828383
151,car-1.csv,211113,Image_03,211113_Image_03,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,car-1,4-cell,18357,774,10117,0.551124911,13.07105943
152,car-1.csv,211113,Image_06,211113_Image_06,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,car-1,4-cell,27688,1114,16056,0.579890205,14.41292639
153,car-1.csv,211113,Image_13,211113_Image_13,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,car-1,4-cell,18809,658,10839,0.576266681,16.47264438
154,car-1.csv,211113,Image_17,211113_Image_17,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,car-1,4-cell,17494,734,8373,0.478621242,11.40735695
155,car-1.csv,211109,Image_04,211109_Image_04,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,car-1,8-11-cell,17849,580,9116,0.510728892,15.71724138
