AB	ABa	ABal	ABalx	ABar	ABarx	ABp	ABpl	ABplx	ABpr	ABprx	C	Cx1	Cx2	D	E	EMS	Ea	Ep	MS	MSx1	MSx2	P0	P1	P2	P3	P4
B0304.2	91.108	32.176	117.436	20.747	74.516	25.9383333333333	111.826	69.124	0.664545454545455	69.214	33.5016666666667	145.02	217.986	15.105	500.01	116.834	108.218	120.245	0.216666666666667	22.032	0.332	406.781428571429	127.588	206.526	168.722	265.488	92.0133333333333
B0304.4	144.258	100.06	132.656	63.302	84.208	54.4533333333333	120.57	76.208	67.5045454545455	160.7	91.0175	66.952	175.57	71.535	0	29.402	124.872	5.31	56.8233333333333	87.222	102.886	53.99	105.43	134.912	115.178	0.184	43.09
B0310.1	0	4.272	0.446	53.863	0.424	37.5325	0.334	31.92	15.8018181818182	0	10.5125	0	5.936	1.86166666666667	0	76.672	6.238	3.3975	18.57	0.13	12.958	0.468571428571429	0	0	0	0	0
B0310.2	19.61	23.84	147.27	323.893	129.062	314.4425	1.978	197.018	386.135454545455	93.118	272.028333333333	35.918	191.924	154.031666666667	2.21666666666667	261.55	19.976	422.9925	463.133333333333	196.366	139.014	154.827142857143	43.038	32.414	7.88	16.87	0.628333333333333
B0310.3	0	0	0	14.396	0	0	0	0	6.82909090909091	0	11.0433333333333	0	0	0	0	0	0	0	0	0	0.11	0	0	0	0	0	0
B0310.8	0	0	0	16.38	0	0	0	0	0	0	0.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B0331.2	0	0	0	0	0	0	0	63.452	0	0	0	0	0	0	0	0	0	0	0	47.894	0	0	0.038	0	0	0	0
B0334.10	3.412	6.196	11.468	0	27.192	0.108333333333333	13.196	2.436	0.0745454545454545	18.084	1.43	0	0	3.20166666666667	0	0.196	1.64	0	0	0	0	0	10.116	2.616	1.922	0	0.331666666666667
B0334.15	34.894	33.68	46.394	34.925	32.348	9.41583333333333	39.922	53.918	17.6290909090909	2.838	14.6441666666667	35.024	30.132	26.9983333333333	1.08666666666667	2.968	38.38	2.8525	0	64.336	25.892	0.894285714285714	24.458	22.644	30.746	31.516	0.18
B0334.17	17.498	25.992	10.1	0.319	5.9	0.74	26.486	15.966	6.92090909090909	10.636	1.07166666666667	19.332	0	3.55333333333333	19.835	14.49	11.948	0	0	16.922	0	4.79	48.114	11.01	18.218	75.108	23.5533333333333
B0334.3	52.934	95.274	44.308	71.168	36.596	126.084166666667	44.958	27.222	37.1527272727273	81.592	40.045	24.688	3.604	0.58	14.3616666666667	6.21	49.84	3.3825	6.35666666666667	23.872	145.324	65.2514285714286	41.872	64.254	41.676	8.534	37.2183333333333
B0334.4	275.614	302.654	206.416	139.883	354.84	86.8341666666667	281.092	251.156	54.17	194.258	45.1358333333333	505.168	241.9	170.023333333333	772.91	389.274	370.882	3.1325	13.095	265.698	20.116	237.948571428571	427.91	309.738	393.48	700.456	578.291666666667
B0334.5	22.636	5.892	1.664	10.816	0	0.065	0.184	0.038	36.8636363636364	0	0.2325	25.214	0.054	15.74	91.275	3.44	15.778	0	3.11	0	0	0.0728571428571429	61.036	102.704	111.178	77.716	139.483333333333
B0334.6	0	0	0	2.108	0	0	0	0	0	0	0	0.546	0	0	0	6.484	0	0	0	0	0	0	0	0	0	0	0
B0336.11	0.274	0	0	0.063	0	1.59166666666667	0	0	0.110909090909091	0	0.5225	0	18.654	0	0.385	0	9.102	0	0	0	0	0.71	0	0	0	0	0
B0336.13	90.784	101.91	78.908	69.251	167.61	59.3958333333333	104.788	101.902	105.963636363636	145.076	49.5041666666667	107.178	157.08	34.55	359.951666666667	193.742	95.152	17.0725	39.5066666666667	46.372	55.294	206.547142857143	131.43	85.376	109.056	148.564	114.433333333333
B0336.16	0	0	0	1.869	0	0	0	0	0	0	0	0	8.196	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B0336.3	83.728	112.756	80.782	23.809	156.322	37.7758333333333	106.382	77.476	66.9518181818182	42.13	71.09	21.746	12.402	13.805	10.3766666666667	32.956	57.482	58.3875	14.6566666666667	22.626	34.856	55.4771428571429	61.412	53.462	59.16	45.51	74.9983333333333
