"SYMBOL","ENTREZID"
"mig-38","178082"
"smn-1","172783"
"ife-1","176755"
"pek-1","181334"
"cka-1","177807"
"pqn-20","172402"
"spcs-3","176133"
"ddx-10","171810"
"set-16","176802"
"dip-2","3565539"
"mat-1","172145"
"lsy-2","180522"
"F46H5.4","180988"
"lgmn-1","179714"
"nlt-1","191734"
"memo-1","179163"
"cfim-2","177710"
"acl-5","181241"
"wts-1","172896"
"act-1","179535"
"ufd-2","174295"
"sem-5","181055"
"rae-1","172864"
"B0303.4","176218"
"ufl-1","177471"
"pqn-65","180734"
"math-33","179538"
"fat-4","177819"
"mdt-18","183844"
"tsp-9","180472"
"C08B6.8","179411"
"sax-3","180637"
"syd-2","181255"
"bud-31","176368"
"prp-3","176461"
"zer-1","175249"
"gex-2","176885"
"F59E12.9","173953"
"F10G7.9","173810"
"cdk-1","176374"
"tap-1","181556"
"C08F11.13","178327"
"swd-2.2","177561"
"mrps-26","175718"
"chp-1","172138"
"dep-1","174437"
"W09D10.4","176497"
"yif-1","179400"
"C05D9.7","180465"
"mrps-34","175592"
"mzt-1","3565198"
"ZK1127.5","174151"
"fbxc-36","173475"
"clec-140","188082"
"dab-1","174323"
"C01G10.9","180016"
"pph-4.1","176657"
"sos-1","178846"
"R11F4.1","173747"
"ztf-3","171617"
"pfs-2","175092"
"atg-16.2","174067"
"natb-1","190814"
"ttll-5","179582"
"dnc-2","175837"
"npp-7","172234"
"ztf-13","186116"
"nol-10","177538"
"Y75B8A.18","190705"
"bag-1","172373"
"smg-2","171696"
"pqn-21","172398"
"F31D4.2","180370"
"ham-3","176426"
"W01C8.5","180836"
"ipla-3","180354"
"nac-2","187898"
"daf-16","172981"
"Y116A8C.27","191004"
"rrf-1","172523"
"cic-1","175357"
"R119.3","171628"
"asna-1","176254"
"Y92H12BR.2","171706"
"atf-2","174399"
"mfn-1","174752"
"ifd-1","187585"
"F17H10.1","181439"
"dgk-2","180720"
"ifp-1","181182"
"mrpl-51","188457"
"sax-1","180655"
"dnc-3","189346"
