transcript	cell_stage	.y.	group1	group2	n1	n2	statistic	df	p	p.adj	p.adj.signif
ZK666.4	12-15-cell	total_no_RNA	spn4_plus	spn4_wt	9	8	4.27866513990192	14.8444188756143	0.000674	0.00300140625	**
ZK666.4	12-15-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	0.304786052151047	13.9817871561142	0.765	0.825852272727273	ns
ZK666.4	16-28-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	-1.63414614663757	11.5718129552415	0.129	0.203121546961326	ns
ZK666.4	16-28-cell	total_no_RNA	spn4_plus	spn4_wt	8	7	1.31436549848626	10.7830927068114	0.216	0.2945	ns
ZK666.4	16-28-cell	total_no_RNA	spn4_minus	spn4_wt	8	7	2.68100823949448	8.56365325833273	0.026	0.0544852941176471	ns
car-1	2-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	0.456770325585652	13.4282286950291	0.655	0.737845849802372	ns
car-1	2-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	2.11129065762112	11.0826303559868	0.058	0.106645161290323	ns
car-1	2-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	1.65204862573512	12.5260170901298	0.123	0.196938202247191	ns
car-1	4-cell	total_no_RNA	spn4_plus	spn4_minus	7	8	-3.3974714005974	12.9865441465821	0.005	0.0135714285714286	*
car-1	4-cell	total_no_RNA	spn4_plus	spn4_wt	7	8	2.43669281758844	11.1507248839681	0.033	0.0662323943661972	ns
car-1	4-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	6.2523377831824	12.3261841265191	3.76e-05	0.000255142857142857	***
car-1	8-11-cell	total_no_RNA	spn4_plus	spn4_minus	10	8	-3.4338355234418	15.1939042950934	0.004	0.0110679611650485	*
car-1	8-11-cell	total_no_RNA	spn4_plus	spn4_wt	10	8	3.89772499224828	13.5867923041066	0.002	0.00619565217391304	**
car-1	8-11-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	7.74139694406806	10.183026610158	1.41e-05	0.000125578125	***
car-1	12-15-cell	total_no_RNA	spn4_plus	spn4_minus	7	9	-9.31519283486773	11.314447488871	1.21e-06	1.815e-05	****
car-1	12-15-cell	total_no_RNA	spn4_plus	spn4_wt	7	8	3.41280804451954	6.7395777417468	0.012	0.0289830508474576	*
car-1	12-15-cell	total_no_RNA	spn4_minus	spn4_wt	9	8	11.9386487890232	8.22698026291298	1.76e-06	2.0064e-05	****
